date,cyclists
8/16/2018,3119
8/17/2018,2914
8/18/2018,2229
8/19/2018,1942
8/20/2018,2433
8/21/2018,2239
8/22/2018,2408
8/23/2018,2471
8/24/2018,2510
8/25/2018,1383
8/26/2018,1522
8/27/2018,3116
8/28/2018,3412
8/29/2018,2638
8/30/2018,2965
8/31/2018,2565
9/1/2018,2099
9/2/2018,2210
9/3/2018,2180
9/4/2018,3027
9/5/2018,3375
9/6/2018,3285
9/7/2018,2261
9/8/2018,1270
9/9/2018,751
9/10/2018,2433
9/11/2018,2363
9/12/2018,2794
9/13/2018,2680
9/14/2018,2249
9/15/2018,901
9/16/2018,935
9/17/2018,2713
9/18/2018,3100
9/19/2018,2788
9/20/2018,2210
9/21/2018,1889
9/22/2018,1228
9/23/2018,1656
9/24/2018,2484
9/25/2018,2768
9/26/2018,3005
9/27/2018,2971
9/28/2018,2723
9/29/2018,1442
9/30/2018,578
10/1/2018,1843
10/2/2018,2456
10/3/2018,2326
10/4/2018,2408
10/5/2018,1209
10/6/2018,1581
10/7/2018,374
10/8/2018,376
10/9/2018,2552
10/10/2018,2587
10/11/2018,2705
10/12/2018,2441
10/13/2018,1661
10/14/2018,1613
10/15/2018,2488
10/16/2018,2786
10/17/2018,2631
10/18/2018,2553
10/19/2018,2275
10/20/2018,1308
10/21/2018,1613
10/22/2018,2346
10/23/2018,2237
10/24/2018,2281
10/25/2018,1799
10/26/2018,1889
10/27/2018,943
